ticker,event_date,setup_type,spike_return,vol_x_sma50
NXPI,2016-09-29,s03_catalyst_rerating,0.1688,6.73
NXPI,2018-05-14,s03_catalyst_rerating,0.1185,3.76
OXY,2020-03-10,s03_catalyst_rerating,0.1463,6.83
OXY,2022-03-04,s03_catalyst_rerating,0.1759,4.46
ON,2020-10-08,s03_catalyst_rerating,0.1152,3.53
OKE,2020-03-19,s03_catalyst_rerating,0.3331,3.43
PCAR,2021-01-21,s03_catalyst_rerating,0.1046,5.33
PSKY,2023-12-08,s03_catalyst_rerating,0.1211,3.58
PSKY,2024-04-03,s03_catalyst_rerating,0.1497,3.35
PSKY,2025-08-13,s03_catalyst_rerating,0.3674,8.36
PCG,2018-11-16,s03_catalyst_rerating,0.3754,5.29
PCG,2019-04-12,s03_catalyst_rerating,0.2065,3.1
PCG,2019-10-29,s03_catalyst_rerating,0.3237,4.07
PTC,2025-07-09,s03_catalyst_rerating,0.1765,4.4
PWR,2021-09-02,s03_catalyst_rerating,0.1206,3.93
QCOM,2019-04-16,s03_catalyst_rerating,0.2321,6.27
QCOM,2025-10-27,s03_catalyst_rerating,0.1109,9.15
REGN,2016-04-01,s03_catalyst_rerating,0.1243,3.11
REGN,2016-11-09,s03_catalyst_rerating,0.1377,3.78
REGN,2020-03-17,s03_catalyst_rerating,0.1154,3.19
REGN,2022-09-08,s03_catalyst_rerating,0.1885,6.2
HOOD,2022-03-29,s03_catalyst_rerating,0.242,4.21
HOOD,2022-06-27,s03_catalyst_rerating,0.14,3.31
HOOD,2023-12-05,s03_catalyst_rerating,0.1026,4.54
HOOD,2024-05-17,s03_catalyst_rerating,0.1223,3.29
HOOD,2024-11-06,s03_catalyst_rerating,0.1963,3.44
ROST,2020-11-09,s03_catalyst_rerating,0.1556,3.25
RCL,2020-03-24,s03_catalyst_rerating,0.2228,3.01
RCL,2020-11-09,s03_catalyst_rerating,0.2879,3.62
SNDK,2025-09-04,s03_catalyst_rerating,0.179,4.02
SBAC,2026-04-02,s03_catalyst_rerating,0.1893,6.03
