ticker,event_date,setup_type,adsh,company_name
MGNX,2024-10-30,s05_spinoff,0001193125-24-247017,MACROGENICS INC  (MGNX)  (CIK 0001125345)
XPOF,2026-05-18,s05_spinoff,0001193125-26-228001,"Xponential Fitness, Inc.  (XPOF)  (CIK 0001802156)"
XPO,2021-07-26,s05_spinoff,0001628280-21-014462,"XPO Logistics, Inc.  (XPO)  (CIK 0001166003)"
GXO,2021-07-26,s05_spinoff,0001628280-21-014463,"GXO Logistics, Inc.  (GXO)  (CIK 0001852244)"
VYGR,2024-04-02,s05_spinoff,0001104659-24-042502,"Voyager Therapeutics, Inc.  (VYGR)  (CIK 0001640266)"
J,2024-09-30,s05_spinoff,0001193125-24-228379,"JACOBS SOLUTIONS INC.  (J, J-WI)  (CIK 0000052988)"
STRZ,2025-03-10,s05_spinoff,0001193125-25-050356,"LIONS GATE ENTERTAINMENT CORP /CN/  (LGF-A, LGF-B)  (CIK 0000929351)"
WBD,2025-11-13,s05_spinoff,0001437107-25-000219,"Warner Bros. Discovery, Inc.  (WBD)  (CIK 0001437107)"
PTPI,2026-06-18,s05_spinoff,0001104659-26-075849,"Petros Pharmaceuticals, Inc.  (PTPI)  (CIK 0001815903)"
J,2023-05-09,s05_spinoff,0000052988-23-000022,JACOBS SOLUTIONS INC.  (J)  (CIK 0000052988)
NEO,2022-03-28,s05_spinoff,0001193125-22-086679,NEOGENOMICS INC  (NEO)  (CIK 0001077183)
CALY,2024-09-04,s05_spinoff,0001193125-24-213153,Topgolf Callaway Brands Corp.  (MODG)  (CIK 0000837465)
GVA,2024-09-16,s05_spinoff,0000861459-24-000037,GRANITE CONSTRUCTION INC  (GVA)  (CIK 0000861459)
FABC,2024-03-07,s05_spinoff,0001493152-24-009238,"AYRO, Inc.  (AYRO)  (CIK 0001086745)"
G,2023-11-30,s05_spinoff,0001140361-23-055330,Genpact LTD  (G)  (CIK 0001398659)
AVNS,2025-04-30,s05_spinoff,0001606498-25-000085,"AVANOS MEDICAL, INC.  (AVNS)  (CIK 0001606498)"
POWW,2025-09-16,s05_spinoff,0001493152-25-013726,"Outdoor Holding Co  (POWW, POWWP)  (CIK 0001015383)"
SCOR,2021-07-23,s05_spinoff,0001193125-21-223106,"COMSCORE, INC.  (SCOR)  (CIK 0001158172)"
NMIH,2021-11-15,s05_spinoff,0001547903-21-000175,"NMI Holdings, Inc.  (NMIH)  (CIK 0001547903)"
GDOT,2025-11-26,s05_spinoff,0001140361-25-043544,GREEN DOT CORP  (GDOT)  (CIK 0001386278)
RVSB,2022-01-26,s05_spinoff,0000939057-22-000020,RIVERVIEW BANCORP INC  (RVSB)  (CIK 0001041368)
LCII,2025-06-09,s05_spinoff,0000763744-25-000109,LCI INDUSTRIES  (LCII)  (CIK 0000763744)
