ticker,event_date,setup_type,sponsor_name,application_number,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
AMGN,2024-05-16,s08_fda_regulatory,AMGEN INC,BLA761344,2024-05-07,281.78866144388905,30.0,2024-06-20,291.44561767578125,0.034270208681959735,0.03127020868195973,False,0.03127020868195973,False,0.03127020868195973,0.056882318917481856,-0.025612110235522123,
AMGN,2024-05-16,s08_fda_regulatory,AMGEN INC,BLA761344,2024-05-07,281.78866144388905,60.0,2024-08-02,314.1111755371094,0.1147048072395791,0.1117048072395791,False,0.1117048072395791,False,0.1117048072395791,0.03296093499545383,0.07874387224412527,
AMGN,2024-05-16,s08_fda_regulatory,AMGEN INC,BLA761344,2024-05-07,281.78866144388905,90.0,2024-09-16,317.50103759765625,0.12673461015349763,0.12373461015349763,False,0.12373461015349763,False,0.12373461015349763,0.0909958270273925,0.03273878312610512,
PFE,2022-01-14,s08_fda_regulatory,PFIZER,NDA213871,2022-01-05,43.99091549324687,30.0,2022-02-17,38.81646728515625,-0.11762538128775601,-0.12062538128775602,True,-0.10299999999999998,True,-0.07620056332269087,-0.08403893283171904,-0.03658644845603698,
PFE,2022-01-14,s08_fda_regulatory,PFIZER,NDA213871,2022-01-05,43.99091549324687,60.0,2022-04-01,40.93588638305664,-0.06944681818816001,-0.07244681818816001,True,-0.10299999999999998,True,-0.07620056332269087,-0.047851896031029795,-0.024594922157130217,
PFE,2022-01-14,s08_fda_regulatory,PFIZER,NDA213871,2022-01-05,43.99091549324687,90.0,2022-05-16,40.54948425292969,-0.0782304983138048,-0.0812304983138048,True,-0.10299999999999998,True,-0.07620056332269087,-0.158913309717568,0.07768281140376321,
AZN,2023-01-10,s08_fda_regulatory,ASTRAZENECA,NDA214070,2022-12-29,126.61996238227523,30.0,2023-02-13,129.4993438720703,0.02274034390487345,0.01974034390487345,False,0.01974034390487345,True,-0.03330991231288638,0.08745352841702903,-0.06771318451215558,
AZN,2023-01-10,s08_fda_regulatory,ASTRAZENECA,NDA214070,2022-12-29,126.61996238227523,60.0,2023-03-28,129.28695678710938,0.021062985288072378,0.01806298528807238,False,0.01806298528807238,True,-0.03330991231288638,0.04604418054860093,-0.027981195260528554,
AZN,2023-01-10,s08_fda_regulatory,ASTRAZENECA,NDA214070,2022-12-29,126.61996238227523,90.0,2023-05-10,141.1037139892578,0.11438758418877937,0.11138758418877936,False,0.11138758418877936,True,-0.03330991231288638,0.09165667600952121,0.019730908179258155,
DNLI,2026-03-24,s08_fda_regulatory,DENALI THERAPEUTICS INC.,BLA761485,2026-03-13,20.90999984741211,30.0,2026-04-27,19.940000534057617,-0.04638925492266521,-0.049389254922665216,True,-0.10299999999999998,True,-0.12027903144666707,0.07150042315899952,-0.12088967808166473,
DNLI,2026-03-24,s08_fda_regulatory,DENALI THERAPEUTICS INC.,BLA761485,2026-03-13,20.90999984741211,60.0,2026-06-09,20.790000915527344,-0.005738829878548124,-0.008738829878548123,True,-0.10299999999999998,True,-0.12027903144666707,0.10428206312974675,-0.11302089300829488,
DNLI,2026-03-24,s08_fda_regulatory,DENALI THERAPEUTICS INC.,BLA761485,2026-03-13,20.90999984741211,90.0,,,,,,,,,,,exit_out_of_range
ABBV,2024-10-16,s08_fda_regulatory,ABBVIE,NDA216962,2024-10-07,183.35480935175883,30.0,2024-11-18,158.0686492919922,-0.13790835456765227,-0.14090835456765227,True,-0.10299999999999987,True,-0.03527675436151856,0.029494146193427717,-0.17040250076108,
ABBV,2024-10-16,s08_fda_regulatory,ABBVIE,NDA216962,2024-10-07,183.35480935175883,60.0,2025-01-02,170.57876586914062,-0.06967934753272753,-0.07267934753272753,True,-0.10299999999999987,True,-0.03527675436151856,0.026794338006498997,-0.09947368553922653,
ABBV,2024-10-16,s08_fda_regulatory,ABBVIE,NDA216962,2024-10-07,183.35480935175883,90.0,2025-02-18,188.3179168701172,0.02706832471918874,0.024068324719188742,True,-0.10299999999999987,True,-0.03527675436151856,0.0739505951624575,-0.04988227044326876,
SCNX,2025-03-13,s08_fda_regulatory,SCIENTURE,NDA218772,2025-03-04,2.450000047683716,30.0,2025-04-15,0.9369999766349792,-0.6175510373884117,-0.6205510373884117,True,-0.10299999999999998,True,-0.28999304385357205,-0.06983292488282267,-0.550718112505589,
SCNX,2025-03-13,s08_fda_regulatory,SCIENTURE,NDA218772,2025-03-04,2.450000047683716,60.0,2025-05-29,0.906000018119812,-0.6302040814340537,-0.6332040814340537,True,-0.10299999999999998,True,-0.28999304385357205,0.020898243490102608,-0.6541023249241563,
SCNX,2025-03-13,s08_fda_regulatory,SCIENTURE,NDA218772,2025-03-04,2.450000047683716,90.0,2025-07-14,1.649999976158142,-0.3265306350838284,-0.3295306350838284,True,-0.10299999999999998,True,-0.28999304385357205,0.08423541131875223,-0.41376604640258063,
GKOS,2025-10-17,s08_fda_regulatory,GLAUKOS,NDA219910,2025-10-08,86.4000015258789,30.0,2025-11-19,96.48999786376953,0.11678236295943156,0.11378236295943156,True,-0.10299999999999998,True,-0.07490633336011043,-0.011368872124360774,0.12515123508379233,
GKOS,2025-10-17,s08_fda_regulatory,GLAUKOS,NDA219910,2025-10-08,86.4000015258789,60.0,2026-01-05,112.51000213623047,0.30219907580130045,0.29919907580130045,True,-0.10299999999999998,True,-0.07490633336011043,0.029096849294916183,0.27010222650638427,
GKOS,2025-10-17,s08_fda_regulatory,GLAUKOS,NDA219910,2025-10-08,86.4000015258789,90.0,2026-02-18,121.0,0.4004629382298974,0.3974629382298974,True,-0.10299999999999998,True,-0.07490633336011043,0.026956945539232002,0.3705059926906654,
IMCR,2022-01-25,s08_fda_regulatory,IMMUNOCORE LTD,BLA761228,2022-01-13,27.43000030517578,30.0,2022-02-28,22.100000381469727,-0.19431279126527512,-0.19731279126527512,True,-0.10299999999999998,True,-0.16721450558148732,-0.07530862289719031,-0.12200416836808481,
IMCR,2022-01-25,s08_fda_regulatory,IMMUNOCORE LTD,BLA761228,2022-01-13,27.43000030517578,60.0,2022-04-11,33.880001068115234,0.23514402811444368,0.23214402811444368,True,-0.10299999999999998,True,-0.16721450558148732,-0.06544673974565485,0.2975907678600985,
IMCR,2022-01-25,s08_fda_regulatory,IMMUNOCORE LTD,BLA761228,2022-01-13,27.43000030517578,90.0,2022-05-24,29.530000686645508,0.07655852563273502,0.07355852563273502,True,-0.10299999999999998,True,-0.16721450558148732,-0.16323149257663505,0.23679001820937007,
CELG-RI,2022-03-18,s08_fda_regulatory,BRISTOL MYERS SQUIBB,BLA761234,,,,,,,,,,,,,,no_price_data
