ticker,event_date,setup_type,pct_of_52wk_high
XLI,2025-11-05,s04_sector_rebound_placebo,0.9834
XLI,2025-11-28,s04_sector_rebound_placebo,0.9865
XLI,2026-04-08,s04_sector_rebound_placebo,0.9554
XLI,2026-05-20,s04_sector_rebound_placebo,0.957
XLI,2026-06-11,s04_sector_rebound_placebo,0.9818
XLP,2016-01-12,s04_sector_rebound_placebo,0.9709
XLP,2016-01-28,s04_sector_rebound_placebo,0.9709
XLP,2016-02-12,s04_sector_rebound_placebo,0.9772
XLP,2016-04-25,s04_sector_rebound_placebo,0.9743
XLP,2016-05-26,s04_sector_rebound_placebo,0.9793
XLP,2016-09-06,s04_sector_rebound_placebo,0.9862
XLP,2017-05-04,s04_sector_rebound_placebo,0.9883
XLP,2017-07-27,s04_sector_rebound_placebo,0.981
XLP,2017-08-14,s04_sector_rebound_placebo,0.9736
XLP,2017-09-05,s04_sector_rebound_placebo,0.9676
XLP,2017-11-10,s04_sector_rebound_placebo,0.9601
XLP,2018-10-19,s04_sector_rebound_placebo,0.9507
XLP,2018-11-23,s04_sector_rebound_placebo,0.9524
XLP,2018-12-11,s04_sector_rebound_placebo,0.959
XLP,2019-06-04,s04_sector_rebound_placebo,0.9807
XLP,2019-08-07,s04_sector_rebound_placebo,0.9708
XLP,2019-10-16,s04_sector_rebound_placebo,0.9824
XLP,2019-11-06,s04_sector_rebound_placebo,0.9928
XLP,2020-03-04,s04_sector_rebound_placebo,0.9758
XLP,2020-09-28,s04_sector_rebound_placebo,0.9594
XLP,2020-11-05,s04_sector_rebound_placebo,0.9743
XLP,2021-03-10,s04_sector_rebound_placebo,0.9732
XLP,2021-06-30,s04_sector_rebound_placebo,0.9847
XLP,2021-10-22,s04_sector_rebound_placebo,0.9831
XLP,2021-12-03,s04_sector_rebound_placebo,0.9779
XLP,2022-01-27,s04_sector_rebound_placebo,0.9637
XLP,2022-02-17,s04_sector_rebound_placebo,0.9777
XLP,2022-03-25,s04_sector_rebound_placebo,0.9711
XLP,2022-05-13,s04_sector_rebound_placebo,0.9551
XLP,2023-01-06,s04_sector_rebound_placebo,0.9606
XLP,2023-07-03,s04_sector_rebound_placebo,0.9714
XLP,2023-07-19,s04_sector_rebound_placebo,0.9711
XLP,2024-04-19,s04_sector_rebound_placebo,0.9749
XLP,2024-07-02,s04_sector_rebound_placebo,0.9828
XLP,2024-10-09,s04_sector_rebound_placebo,0.973
XLP,2024-11-22,s04_sector_rebound_placebo,0.9764
XLP,2025-01-27,s04_sector_rebound_placebo,0.9619
XLP,2025-02-10,s04_sector_rebound_placebo,0.9598
XLP,2025-03-17,s04_sector_rebound_placebo,0.965
XLP,2025-04-11,s04_sector_rebound_placebo,0.9662
XLP,2025-04-29,s04_sector_rebound_placebo,0.9769
XLP,2025-05-15,s04_sector_rebound_placebo,0.9757
XLP,2025-06-16,s04_sector_rebound_placebo,0.9767
XLP,2025-07-10,s04_sector_rebound_placebo,0.982
XLP,2025-07-29,s04_sector_rebound_placebo,0.983
XLP,2025-10-17,s04_sector_rebound_placebo,0.9646
XLP,2026-01-08,s04_sector_rebound_placebo,0.9566
XLU,2016-04-27,s04_sector_rebound_placebo,0.9677
XLU,2016-05-26,s04_sector_rebound_placebo,0.9787
XLU,2016-09-21,s04_sector_rebound_placebo,0.9646
XLU,2017-05-04,s04_sector_rebound_placebo,0.9889
XLU,2017-07-19,s04_sector_rebound_placebo,0.9708
XLU,2017-10-10,s04_sector_rebound_placebo,0.975
XLU,2018-09-21,s04_sector_rebound_placebo,0.9661
XLU,2018-10-05,s04_sector_rebound_placebo,0.9765
XLU,2018-10-29,s04_sector_rebound_placebo,0.9799
XLU,2019-01-24,s04_sector_rebound_placebo,0.9577
XLU,2019-05-10,s04_sector_rebound_placebo,0.983
XLU,2019-05-31,s04_sector_rebound_placebo,0.9721
XLU,2019-08-01,s04_sector_rebound_placebo,0.982
XLU,2019-10-29,s04_sector_rebound_placebo,0.9755
XLU,2019-12-13,s04_sector_rebound_placebo,0.976
XLU,2020-03-04,s04_sector_rebound_placebo,0.9682
XLU,2021-06-03,s04_sector_rebound_placebo,0.9671
XLU,2021-07-12,s04_sector_rebound_placebo,0.9645
XLU,2021-10-20,s04_sector_rebound_placebo,0.9621
XLU,2021-11-09,s04_sector_rebound_placebo,0.9571
XLU,2021-12-02,s04_sector_rebound_placebo,0.9595
XLU,2022-01-31,s04_sector_rebound_placebo,0.9674
XLU,2022-03-03,s04_sector_rebound_placebo,0.969
XLU,2022-05-24,s04_sector_rebound_placebo,0.9622
XLU,2024-07-11,s04_sector_rebound_placebo,0.9786
XLU,2024-11-11,s04_sector_rebound_placebo,0.9658
XLU,2025-01-16,s04_sector_rebound_placebo,0.9572
XLU,2025-02-05,s04_sector_rebound_placebo,0.9531
XLU,2025-03-10,s04_sector_rebound_placebo,0.95
XLU,2025-03-31,s04_sector_rebound_placebo,0.9655
XLU,2025-04-17,s04_sector_rebound_placebo,0.9523
XLU,2025-09-10,s04_sector_rebound_placebo,0.9691
XLU,2025-11-24,s04_sector_rebound_placebo,0.9596
XLU,2026-04-24,s04_sector_rebound_placebo,0.9743
XLU,2026-06-23,s04_sector_rebound_placebo,0.9569
XLB,2016-07-08,s04_sector_rebound_placebo,0.9741
XLB,2016-11-08,s04_sector_rebound_placebo,0.9628
XLB,2017-03-22,s04_sector_rebound_placebo,0.9773
XLB,2017-04-20,s04_sector_rebound_placebo,0.9841
XLB,2017-05-22,s04_sector_rebound_placebo,0.9786
XLB,2017-08-16,s04_sector_rebound_placebo,0.9771
XLB,2017-08-30,s04_sector_rebound_placebo,0.9794
XLB,2017-11-16,s04_sector_rebound_placebo,0.9798
XLB,2018-02-23,s04_sector_rebound_placebo,0.9563
XLB,2018-03-09,s04_sector_rebound_placebo,0.9568
XLB,2019-08-08,s04_sector_rebound_placebo,0.975
XLB,2019-09-10,s04_sector_rebound_placebo,0.9634
XLB,2019-10-11,s04_sector_rebound_placebo,0.9694
XLB,2020-01-09,s04_sector_rebound_placebo,0.9739
XLB,2020-02-05,s04_sector_rebound_placebo,0.993
XLB,2020-09-28,s04_sector_rebound_placebo,0.9536
XLB,2020-11-02,s04_sector_rebound_placebo,0.9808
XLB,2021-03-01,s04_sector_rebound_placebo,0.9733
XLB,2021-07-30,s04_sector_rebound_placebo,0.9516
XLB,2021-09-15,s04_sector_rebound_placebo,0.9508
XLB,2021-10-14,s04_sector_rebound_placebo,0.9544
XLB,2021-12-21,s04_sector_rebound_placebo,0.9676
XLB,2022-04-28,s04_sector_rebound_placebo,0.9583
XLB,2022-05-27,s04_sector_rebound_placebo,0.9648
