ticker,event_date,setup_type,consolidation_days,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
APD,2026-01-02,s02_consolidation,15,2026-01-05,246.2560027172759,90,,2026-05-14,299.8699951171875,0.2177164893781911,0.2147164893781911,False,0.2147164893781911,False,0.2147164893781911,0.09274523234934295,0.12197125702884815
MO,2026-01-02,s02_consolidation,26,2026-01-05,55.30244186807807,30,,2026-02-18,64.70201110839844,0.16996662213836222,0.16696662213836222,False,0.16696662213836222,True,-0.02849837310842229,-0.0003641315172323578,0.16733075365559458
MO,2026-01-02,s02_consolidation,26,2026-01-05,55.30244186807807,60,,2026-04-01,64.51519012451172,0.16658845333467043,0.16358845333467043,False,0.16358845333467043,True,-0.02849837310842229,-0.04298439153976452,0.20657284487443495
MO,2026-01-02,s02_consolidation,26,2026-01-05,55.30244186807807,90,,2026-05-14,71.34307861328125,0.29005295613288706,0.28705295613288706,False,0.28705295613288706,True,-0.02849837310842229,0.09274523234934295,0.1943077237835441
APTV,2026-01-02,s02_consolidation,26,2026-01-05,78.26000213623047,30,,2026-02-18,83.80999755859375,0.07091739420990772,0.06791739420990772,False,0.06791739420990772,True,-0.047153645425244806,-0.0003641315172323578,0.06828152572714008
APTV,2026-01-02,s02_consolidation,26,2026-01-05,78.26000213623047,60,,2026-04-01,62.09000015258789,-0.20661898213974972,-0.20961898213974972,True,-0.10299999999999998,True,-0.047153645425244806,-0.04298439153976452,-0.1666345905999852
APTV,2026-01-02,s02_consolidation,26,2026-01-05,78.26000213623047,90,,2026-05-14,57.560001373291016,-0.2645029414502966,-0.2675029414502966,True,-0.10299999999999998,True,-0.047153645425244806,0.09274523234934295,-0.3602481737996396
BXP,2025-12-30,s02_consolidation,15,2025-12-31,67.89035372974394,30,,2026-02-13,60.65937423706055,-0.10650967472445749,-0.1095096747244575,True,-0.10299999999999998,True,-0.04097534933225555,-0.00784419307844475,-0.10166548164601275
BXP,2025-12-30,s02_consolidation,15,2025-12-31,67.89035372974394,60,,2026-03-30,51.119998931884766,-0.24702117276657798,-0.250021172766578,True,-0.10299999999999998,True,-0.04097534933225555,-0.07777764067282389,-0.1722435320937541
BXP,2025-12-30,s02_consolidation,15,2025-12-31,67.89035372974394,90,,2026-05-12,59.0099983215332,-0.1308043767684789,-0.1338043767684789,True,-0.10299999999999998,True,-0.04097534933225555,0.07721267643702245,-0.21101705320550135
AES,2025-12-24,s02_consolidation,30,2025-12-26,13.677409694200383,30,,2026-02-10,16.05207633972168,0.17361961794039282,0.17061961794039282,False,0.17061961794039282,False,0.17061961794039282,0.0021428904048290676,0.16847672753556375
AES,2025-12-24,s02_consolidation,30,2025-12-26,13.677409694200383,60,,2026-03-25,13.888751029968262,0.015451853859250297,0.012451853859250298,False,0.012451853859250298,False,0.012451853859250298,-0.04637185108376973,0.05882370494302003
AES,2025-12-24,s02_consolidation,30,2025-12-26,13.677409694200383,90,,2026-05-07,14.289999961853027,0.044788471015268394,0.04178847101526839,False,0.04178847101526839,False,0.04178847101526839,0.062171247318967726,-0.020382776303699335
ABBV,2025-12-23,s02_consolidation,19,2025-12-24,225.75565995929747,30,,2026-02-09,221.42303466796875,-0.01919165744110196,-0.02219165744110196,True,-0.10299999999999998,True,-0.04201538534196836,0.008721492035769884,-0.030913149476871845
ABBV,2025-12-23,s02_consolidation,19,2025-12-24,225.75565995929747,60,,2026-03-24,203.5116424560547,-0.09853138347562695,-0.10153138347562696,True,-0.10299999999999998,True,-0.04201538534196836,-0.04794849322077044,-0.05358289025485652
ABBV,2025-12-23,s02_consolidation,19,2025-12-24,225.75565995929747,90,,2026-05-06,205.02999877929688,-0.09180572121087605,-0.09480572121087605,True,-0.10299999999999998,True,-0.04201538534196836,0.06960400696573976,-0.1644097281766158
AMZN,2025-12-16,s02_consolidation,17,2025-12-17,224.66000366210938,30,,2026-02-02,242.9600067138672,0.08145643529535929,0.07845643529535928,False,0.07845643529535928,False,0.07845643529535928,0.02584951494973864,0.052606920345620645
AMZN,2025-12-16,s02_consolidation,17,2025-12-17,224.66000366210938,60,,2026-03-17,215.1999969482422,-0.04210810362175155,-0.04510810362175155,True,-0.10299999999999998,True,-0.048667714780923355,-0.01046924846440822,-0.03463885515734333
AMZN,2025-12-16,s02_consolidation,17,2025-12-17,224.66000366210938,90,,2026-04-29,263.0400085449219,0.17083594879904118,0.16783594879904118,True,-0.10299999999999998,True,-0.048667714780923355,0.052569886392956455,0.11526606240608472
AWK,2025-12-12,s02_consolidation,16,2025-12-15,130.2389930081379,30,,2026-01-29,127.22119903564453,-0.023171201671566943,-0.026171201671566943,False,-0.026171201671566943,True,-0.04591817248951369,0.015094389939446673,-0.04126559161101362
AWK,2025-12-12,s02_consolidation,16,2025-12-15,130.2389930081379,60,,2026-03-13,138.69784545898438,0.0649486935937682,0.0619486935937682,False,0.0619486935937682,True,-0.04591817248951369,-0.03134275685535737,0.09329145044912557
AWK,2025-12-12,s02_consolidation,16,2025-12-15,130.2389930081379,90,,2026-04-27,131.0227508544922,0.006017843260699429,0.003017843260699429,False,0.003017843260699429,True,-0.04591817248951369,0.048855511840010024,-0.0458376685793106
AFL,2025-12-09,s02_consolidation,15,2025-12-10,106.91536924937024,30,,2026-01-26,107.8060073852539,0.008330309684535075,0.005330309684535075,False,0.005330309684535075,False,0.005330309684535075,0.017898603630821075,-0.012568293946285999
AFL,2025-12-09,s02_consolidation,15,2025-12-10,106.91536924937024,60,,2026-03-10,109.7317886352539,0.02634251189194914,0.02334251189194914,False,0.02334251189194914,False,0.02334251189194914,-0.004950554572582089,0.028293066464531228
