ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct
CIA,2024-04-23,s09_short_squeeze_candidate,2024-04-15,70.75,-0.3322
CIA,2025-01-23,s09_short_squeeze_candidate,2025-01-15,44.93,-0.2747
CIA,2025-05-08,s09_short_squeeze_candidate,2025-04-30,63.16,-0.2855
CLB,2024-01-06,s09_short_squeeze_candidate,2023-12-29,21.26,-0.2806
CLB,2025-03-08,s09_short_squeeze_candidate,2025-02-28,21.11,-0.3032
CLB,2025-06-07,s09_short_squeeze_candidate,2025-05-30,21.23,-0.3086
CLNN,2022-02-23,s09_short_squeeze_candidate,2022-02-15,21.84,-0.4657
CLNN,2022-06-08,s09_short_squeeze_candidate,2022-05-31,23.6,-0.4467
CLNN,2023-05-23,s09_short_squeeze_candidate,2023-05-15,23.54,-0.3478
CLYM,2024-12-07,s09_short_squeeze_candidate,2024-11-29,20.76,-0.6182
CLYM,2025-05-08,s09_short_squeeze_candidate,2025-04-30,21.88,-0.3266
CMMB,2023-04-22,s09_short_squeeze_candidate,2023-04-14,21.73,-0.3106
CMPS,2022-12-08,s09_short_squeeze_candidate,2022-11-30,20.94,-0.3858
CMPX,2023-09-08,s09_short_squeeze_candidate,2023-08-31,29.98,-0.3147
CMTG,2024-04-05,s09_short_squeeze_candidate,2024-03-28,21.74,-0.2714
CNL,2025-11-22,s09_short_squeeze_candidate,2025-11-14,21.4,-0.2786
CNTA,2022-07-08,s09_short_squeeze_candidate,2022-06-30,24.45,-0.5056
CNTA,2022-11-23,s09_short_squeeze_candidate,2022-11-15,23.65,-0.2568
CNTX,2025-02-22,s09_short_squeeze_candidate,2025-02-14,20.43,-0.5107
CODA,2023-09-08,s09_short_squeeze_candidate,2023-08-31,23.69,-0.2789
CORT,2024-03-23,s09_short_squeeze_candidate,2024-03-15,21.98,-0.2935
CPSS,2022-12-08,s09_short_squeeze_candidate,2022-11-30,32.9,-0.2517
CPSS,2023-09-23,s09_short_squeeze_candidate,2023-09-15,29.36,-0.3076
CPSS,2025-05-08,s09_short_squeeze_candidate,2025-04-30,22.67,-0.258
CRCT,2022-04-22,s09_short_squeeze_candidate,2022-04-14,21.86,-0.4005
CRCT,2022-07-23,s09_short_squeeze_candidate,2022-07-15,35.54,-0.4925
CRDF,2024-09-07,s09_short_squeeze_candidate,2024-08-30,25.01,-0.2713
CRDF,2025-05-23,s09_short_squeeze_candidate,2025-05-15,22.71,-0.4247
CRDF,2025-10-08,s09_short_squeeze_candidate,2025-09-30,20.41,-0.5371
CRDF,2026-02-21,s09_short_squeeze_candidate,2026-02-13,21.31,-0.5016
CRML,2024-09-07,s09_short_squeeze_candidate,2024-08-30,24.76,-0.2776
CRMT,2026-06-06,s09_short_squeeze_candidate,2026-05-29,22.03,-0.3999
CRVO,2024-11-23,s09_short_squeeze_candidate,2024-11-15,21.81,-0.4216
CRVS,2026-04-23,s09_short_squeeze_candidate,2026-04-15,21.77,-0.4079
CTSO,2023-10-07,s09_short_squeeze_candidate,2023-09-29,22.25,-0.5335
CTSO,2025-08-08,s09_short_squeeze_candidate,2025-07-31,20.01,-0.3411
CTXR,2022-07-23,s09_short_squeeze_candidate,2022-07-15,22.62,-0.3789
CTXR,2023-09-08,s09_short_squeeze_candidate,2023-08-31,44.32,-0.3294
CTXR,2024-09-21,s09_short_squeeze_candidate,2024-09-13,20.69,-0.4902
CUE,2024-04-05,s09_short_squeeze_candidate,2024-03-28,21.09,-0.3883
CUE,2024-08-23,s09_short_squeeze_candidate,2024-08-15,20.11,-0.689
CURI,2023-09-08,s09_short_squeeze_candidate,2023-08-31,21.68,-0.2532
CURV,2024-03-23,s09_short_squeeze_candidate,2024-03-15,29.24,-0.4457
CURV,2026-03-07,s09_short_squeeze_candidate,2026-02-27,28.89,-0.2817
CVM,2022-12-23,s09_short_squeeze_candidate,2022-12-15,26.47,-0.4334
CVM,2023-04-08,s09_short_squeeze_candidate,2023-03-31,51.03,-0.2588
CVM,2023-10-07,s09_short_squeeze_candidate,2023-09-29,29.38,-0.5629
CVM,2024-04-23,s09_short_squeeze_candidate,2024-04-15,36.2,-0.4838
CVM,2024-10-23,s09_short_squeeze_candidate,2024-10-15,20.04,-0.3333
DAVE,2023-05-06,s09_short_squeeze_candidate,2023-04-28,30.4,-0.4315
DAVE,2023-11-08,s09_short_squeeze_candidate,2023-10-31,94.99,-0.3494
DBVT,2022-02-23,s09_short_squeeze_candidate,2022-02-15,42.76,-0.5244
DBVT,2022-09-08,s09_short_squeeze_candidate,2022-08-31,25.27,-0.3815
DBVT,2022-12-08,s09_short_squeeze_candidate,2022-11-30,31.8,-0.4444
DBVT,2024-08-23,s09_short_squeeze_candidate,2024-08-15,39.27,-0.25
DCTH,2021-09-23,s09_short_squeeze_candidate,2021-09-15,20.36,-0.2656
DCTH,2022-07-23,s09_short_squeeze_candidate,2022-07-15,37.0,-0.3762
DDD,2026-04-23,s09_short_squeeze_candidate,2026-04-15,20.05,-0.2827
DDL,2023-10-07,s09_short_squeeze_candidate,2023-09-29,20.69,-0.3586
DERM,2026-05-08,s09_short_squeeze_candidate,2026-04-30,20.77,-0.4097
DFDVW,2026-01-08,s09_short_squeeze_candidate,2025-12-31,26.65,-0.6843
