ticker,event_date,setup_type,reason,entry_date,entry_price,horizon,error,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy
COIN,2025-05-19,s06_index_inclusion,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[23],2025-05-20,265.1199951171875,60.0,,2025-08-15,317.54998779296875,0.19775948114591024,0.19475948114591024,True,-0.10299999999999998,True,-0.11032883385271697,0.08810165094078037,0.10665783020512987
COIN,2025-05-19,s06_index_inclusion,S&P 500 constituent Capital One Financial Corp. acquired Discover Financial Services.[23],2025-05-20,265.1199951171875,90.0,,2025-09-29,333.989990234375,0.25976914750147695,0.25676914750147695,True,-0.10299999999999998,True,-0.11032883385271697,0.12544043259606186,0.1313287149054151
DASH,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,199.0,30.0,,2025-05-07,176.99000549316406,-0.1106029874715374,-0.11360298747153741,True,-0.10299999999999998,True,-0.08929829840331871,-0.024595784812370902,-0.0890072026591665
DASH,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,199.0,60.0,,2025-06-20,220.4600067138672,0.10783922971792559,0.10483922971792559,True,-0.10299999999999998,True,-0.08929829840331871,0.03604537225135651,0.06879385746656907
DASH,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,199.0,90.0,,2025-08-04,258.0199890136719,0.29658285936518536,0.29358285936518536,True,-0.10299999999999998,True,-0.08929829840331871,0.10035788114101973,0.19322497822416562
TKO,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,150.06400980332742,30.0,,2025-05-07,166.6962890625,0.11083456506973732,0.10783456506973732,True,-0.10299999999999987,True,-0.08158276033775247,-0.024595784812370902,0.13243034988210822
TKO,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,150.06400980332742,60.0,,2025-06-20,172.28282165527344,0.14806222945172398,0.14506222945172398,True,-0.10299999999999987,True,-0.08158276033775247,0.03604537225135651,0.10901685720036747
TKO,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,150.06400980332742,90.0,,2025-08-04,163.22360229492188,0.08769319511614615,0.08469319511614615,True,-0.10299999999999987,True,-0.08158276033775247,0.10035788114101973,-0.015664686024873586
WSM,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,166.74323932450747,30.0,,2025-05-07,155.36512756347656,-0.06823731988849868,-0.07123731988849868,True,-0.10299999999999987,True,-0.10377910591502437,-0.024595784812370902,-0.04664153507612778
WSM,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,166.74323932450747,60.0,,2025-06-20,156.54782104492188,-0.06114441773404544,-0.06414441773404544,True,-0.10299999999999987,True,-0.10377910591502437,0.03604537225135651,-0.10018978998540196
WSM,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,166.74323932450747,90.0,,2025-08-04,198.39569091796875,0.18982749598537452,0.18682749598537451,True,-0.10299999999999987,True,-0.10377910591502437,0.10035788114101973,0.08646961484435478
EXE,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,105.26588042828814,30.0,,2025-05-07,106.33589172363281,0.010164844401540085,0.007164844401540085,True,-0.10299999999999987,True,-0.05119592484460578,-0.024595784812370902,0.031760629213910985
EXE,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,105.26588042828814,60.0,,2025-06-20,118.25302124023438,0.12337464674314536,0.12037464674314535,True,-0.10299999999999987,True,-0.05119592484460578,0.03604537225135651,0.08432927449178884
EXE,2025-03-24,s06_index_inclusion,Market capitalization change.[24],2025-03-25,105.26588042828814,90.0,,2025-08-04,98.08073425292969,-0.06825712325897748,-0.07125712325897748,True,-0.10299999999999987,True,-0.05119592484460578,0.10035788114101973,-0.17161500439999722
APO,2024-12-23,s06_index_inclusion,Market capitalization change.[25],2024-12-24,168.7125215590609,30.0,,2025-02-10,158.6001434326172,-0.05993851572483122,-0.06293851572483122,True,-0.10299999999999998,True,-0.06547299482477742,0.014746799003735322,-0.07768531472856655
APO,2024-12-23,s06_index_inclusion,Market capitalization change.[25],2024-12-24,168.7125215590609,60.0,,2025-03-25,145.0567626953125,-0.1402134153715867,-0.14321341537158672,True,-0.10299999999999998,True,-0.06547299482477742,-0.03165609054381424,-0.11155732482777247
APO,2024-12-23,s06_index_inclusion,Market capitalization change.[25],2024-12-24,168.7125215590609,90.0,,2025-05-07,126.85356140136719,-0.248108200688828,-0.251108200688828,True,-0.10299999999999998,True,-0.06547299482477742,-0.0557358382326274,-0.1953723624562006
WDAY,2024-12-23,s06_index_inclusion,Market capitalization change.[25],2024-12-24,266.29998779296875,30.0,,2025-02-10,269.8800048828125,0.013443549582987435,0.010443549582987436,False,0.010443549582987436,True,-0.07303587838768055,0.014746799003735322,-0.0043032494207478865
WDAY,2024-12-23,s06_index_inclusion,Market capitalization change.[25],2024-12-24,266.29998779296875,60.0,,2025-03-25,252.8300018310547,-0.05058199992253143,-0.05358199992253143,True,-0.10299999999999998,True,-0.07303587838768055,-0.03165609054381424,-0.02192590937871719
WDAY,2024-12-23,s06_index_inclusion,Market capitalization change.[25],2024-12-24,266.29998779296875,90.0,,2025-05-07,250.5800018310547,-0.05903111784644677,-0.06203111784644677,True,-0.10299999999999998,True,-0.07303587838768055,-0.0557358382326274,-0.006295279613819371
LII,2024-12-23,s06_index_inclusion,Novo Holdings A/S acquired Catalent.[26],2024-12-24,617.954691476165,30.0,,2025-02-10,575.8787231445312,-0.06808908308653339,-0.07108908308653339,False,-0.07108908308653339,True,-0.06239996387417168,0.014746799003735322,-0.08583588209026871
LII,2024-12-23,s06_index_inclusion,Novo Holdings A/S acquired Catalent.[26],2024-12-24,617.954691476165,60.0,,2025-03-25,580.5993041992188,-0.060450042361054,-0.063450042361054,True,-0.10299999999999998,True,-0.06239996387417168,-0.03165609054381424,-0.03179395181723976
LII,2024-12-23,s06_index_inclusion,Novo Holdings A/S acquired Catalent.[26],2024-12-24,617.954691476165,90.0,,2025-05-07,562.11572265625,-0.0903609432700111,-0.0933609432700111,True,-0.10299999999999998,True,-0.06239996387417168,-0.0557358382326274,-0.0376251050373837
TPL,2024-11-26,s06_index_inclusion,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[27],2024-11-27,519.2033589437059,30.0,,2025-01-14,438.8908386230469,-0.15468413086550703,-0.15768413086550703,True,-0.10299999999999998,True,-0.09776024055271082,-0.027163489916383954,-0.13052064094912308
TPL,2024-11-26,s06_index_inclusion,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[27],2024-11-27,519.2033589437059,60.0,,2025-02-27,448.04656982421875,-0.13704993986220004,-0.14004993986220005,True,-0.10299999999999998,True,-0.09776024055271082,-0.022384396392724715,-0.11766554346947533
TPL,2024-11-26,s06_index_inclusion,S&P 500 & 100 constituent ConocoPhillips acquired Marathon Oil.[27],2024-11-27,519.2033589437059,90.0,,2025-04-10,392.5309753417969,-0.24397450713650592,-0.24697450713650593,True,-0.10299999999999998,True,-0.09776024055271082,-0.12079253999488848,-0.12618196714161745
AMTM,2024-09-30,s06_index_inclusion,"S&P 500 constituent Jacobs Solutions spun off its Critical Mission Solutions and Cyber Intelligence business, which merged with private Amentum to create newly publicly traded Amentum Holdings.[28]",2024-10-01,28.25,30.0,,2024-11-12,31.239999771118164,0.10584069986258982,0.10284069986258981,True,-0.10299999999999998,False,0.10284069986258981,0.04098370357021652,0.06185699629237329
