ticker,event_date,setup_type,settlement_date,days_to_cover,drawdown_pct,entry_date,entry_price,horizon,exit_date,exit_price,raw_return,net_return,sl_hit_pct10,sl_return_pct10,sl_hit_atr2,sl_return_atr2,spy_return,edge_vs_spy,error
SST,2026-02-07,s09_short_squeeze_candidate,2026-01-30,23.23,-0.312,2026-02-10,3.7100000381469727,60,2026-05-07,3.9200000762939453,0.056603783285096965,0.05360378328509696,True,-0.10299999999999998,True,-0.15326210971910603,0.05558380949014263,-0.0019800262050456707,
SST,2026-02-07,s09_short_squeeze_candidate,2026-01-30,23.23,-0.312,2026-02-10,3.7100000381469727,90,2026-06-22,2.759999990463257,-0.2560647002467986,-0.2590647002467986,True,-0.10299999999999998,True,-0.15326210971910603,0.07683418228667538,-0.335898882533474,
STKS,2023-12-08,s09_short_squeeze_candidate,2023-11-30,25.24,-0.3092,2023-12-11,4.980000019073486,30,2024-01-25,4.5,-0.09638554562953372,-0.09938554562953372,True,-0.10299999999999998,True,-0.10558205247626917,0.06595440317230938,-0.1653399488018431,
STKS,2023-12-08,s09_short_squeeze_candidate,2023-11-30,25.24,-0.3092,2023-12-11,4.980000019073486,60,2024-03-08,3.4600000381469727,-0.3052208785351179,-0.3082208785351179,True,-0.10299999999999998,True,-0.10558205247626917,0.11769834787056244,-0.42591922640568036,
STKS,2023-12-08,s09_short_squeeze_candidate,2023-11-30,25.24,-0.3092,2023-12-11,4.980000019073486,90,2024-04-22,5.21999979019165,0.0481927249395504,0.0451927249395504,True,-0.10299999999999998,True,-0.10558205247626917,0.09487918489657021,-0.04968645995701981,
STKS,2024-11-08,s09_short_squeeze_candidate,2024-10-31,32.64,-0.2581,2024-11-11,3.240000009536743,30,2024-12-24,2.8499999046325684,-0.12037040239389918,-0.12337040239389918,True,-0.10299999999999998,True,-0.15601355853595344,0.00585809088401934,-0.12922849327791852,
STKS,2024-11-08,s09_short_squeeze_candidate,2024-10-31,32.64,-0.2581,2024-11-11,3.240000009536743,60,2025-02-10,3.200000047683716,-0.012345667202249944,-0.015345667202249943,True,-0.10299999999999998,True,-0.15601355853595344,0.011796633664110656,-0.0271423008663606,
STKS,2024-11-08,s09_short_squeeze_candidate,2024-10-31,32.64,-0.2581,2024-11-11,3.240000009536743,90,2025-03-25,2.950000047683716,-0.08950616080229323,-0.09250616080229324,True,-0.10299999999999998,True,-0.15601355853595344,-0.034471141433995656,-0.05803501936829758,
STKS,2025-11-08,s09_short_squeeze_candidate,2025-10-31,23.0,-0.2724,2025-11-11,1.850000023841858,30,2025-12-24,1.809999942779541,-0.021621665160441172,-0.02462166516044117,False,-0.02462166516044117,False,-0.02462166516044117,0.018339645992615727,-0.0429613111530569,
STKS,2025-11-08,s09_short_squeeze_candidate,2025-10-31,23.0,-0.2724,2025-11-11,1.850000023841858,60,2026-02-09,2.049999952316284,0.10810806805239404,0.10510806805239403,False,0.10510806805239403,False,0.10510806805239403,0.023605575045413163,0.08150249300698087,
